Ne,Np,DoF,L2error,L2EOC,Linferror,LinfEOC,Simtime
128,32,33280,1.928375e-02,0.0000,1.021820e-02,0.0000,129.676
256,64,132096,4.661903e-03,2.0484,2.582682e-03,1.9842,809.410
512,128,526336,8.200894e-04,2.5071,4.927003e-04,2.3901,4166.931
1024,256,2101248,1.675064e-04,2.2916,1.353490e-04,1.8640,21708.830
