Node Type,P,Nelem,DoF,L_inf error,L_inf EOC,L1 error,L1 EOC,L2 error,L2 EOC,Sim. time (s)
CGL,1,1,5,0.16455967897748017,,238.68340890231786,,4.821627724461074,,0.0012611500000000002
CGL,1,2,9,0.1188580287103809,0.4693715257653708,157.68214111444485,0.5980790153663603,3.334166795054418,0.5321939870526078,0.0027733280000000003
CGL,1,4,17,0.07412605984559659,0.6811866264067438,72.73694088778852,1.1162591150478016,1.7141779435451452,0.9598093994398303,0.006756876
CGL,1,8,33,0.02724054377881667,1.4442253244093373,21.608757231727736,1.7510721494089239,0.565558105323675,1.5997697198284735,0.016082403000000002
CGL,1,16,65,0.0070208903446855875,1.9560296022204366,5.066793644052375,2.0924711235982456,0.13895481921380629,2.025059383245567,0.041436451
CGL,1,32,129,0.001678727631750393,2.064285818992459,1.1940882860942894,2.085163565607034,0.03293077282183935,2.077107596058335,0.099202814
CGL,1,64,257,0.0004060774297881542,2.0475414284623152,0.28673403059004365,2.0581244637180482,0.007939254115251211,2.052360990471778,0.21074735300000003
CGL,1,128,513,9.969971450052295e-05,2.026093564529014,0.07004308537274204,2.033398598313241,0.0019446396460125971,2.029500634530202,0.45940336800000003
CGL,1,256,1025,2.4701397279003334e-05,2.01299672057665,0.01730176893533539,2.0173230886188196,0.00048110657251476983,2.0150744258131983,0.946151354
CGL,1,512,2049,6.148848218090475e-06,2.0062045527516235,0.004300014629568747,2.0085060734579425,0.00011966841597919592,2.007314075772315,1.984262584
CGL,2,1,7,0.1561180071328191,,217.13092190830378,,4.530255298629864,,0.002196159
CGL,2,2,13,0.08687293802048535,0.8456582167725556,101.91750819583692,1.0911632863750746,2.312316853275105,0.970253252696988,0.004911068
CGL,2,4,25,0.024457627465796855,1.828622369207576,22.13154661877333,2.2032257307357246,0.5609881204224155,2.04329697617967,0.013015394000000001
CGL,2,8,49,0.0022787437873336702,3.423973832637256,1.5691819970936098,3.8180196805249698,0.04471631589986332,3.649096983373894,0.032074295
CGL,2,16,97,9.408801953963986e-05,4.598083880025761,0.06035867274800861,4.700307796458766,0.001750110657867049,4.675283281603147,0.079646224
