Method,POLYDEG,NELEM,PAR_POLYDEG,PAR_NELEM,DoF_bulk,DoF_total,L2_outlet,L2EOC_outlet,Linf_outlet,LinfEOC_outlet,Simtime
DG P1,1,4,3,1,8,40,1.152581e-02,0.0000,8.329671e-04,0.0000,0.046
DG P1,1,8,3,2,16,144,1.973240e-03,2.5462,1.441910e-04,2.5303,0.193
DG P1,1,16,3,4,32,544,3.648564e-04,2.4352,2.679386e-05,2.4280,0.836
DG P1,1,32,3,8,64,2112,7.328864e-05,2.3157,5.401228e-06,2.3105,3.827
DG P1,1,64,3,16,128,8320,1.574014e-05,2.2191,1.162450e-06,2.2161,15.543
DG P1,1,128,3,32,256,33024,3.564845e-06,2.1425,2.636166e-07,2.1407,76.013
DG P2,2,4,3,1,12,44,5.793128e-04,0.0000,1.211278e-04,0.0000,0.078
DG P2,2,8,3,2,24,152,3.304109e-05,4.1320,2.441406e-06,5.6327,0.317
DG P2,2,16,3,4,48,560,2.173799e-06,3.9260,1.601090e-07,3.9306,1.406
DG P2,2,32,3,8,96,2144,1.193683e-07,4.1867,8.787372e-09,4.1875,6.411
DG P2,2,64,3,16,192,8384,4.782146e-09,4.6416,3.613927e-10,4.6038,24.497
DG P2,2,128,3,32,384,33152,1.628768e-09,1.5539,9.902309e-11,1.8677,119.107
DG P3,3,4,3,1,16,48,5.902946e-05,0.0000,2.528909e-05,0.0000,0.114
DG P3,3,8,3,2,32,160,1.142119e-06,5.6917,7.972285e-08,8.3093,0.462
DG P3,3,16,3,4,64,576,4.668273e-08,4.6127,3.386537e-09,4.5571,1.901
DG P3,3,32,3,8,128,2176,1.268133e-09,5.2021,9.778769e-11,5.1140,8.552
DG P4,4,4,3,1,20,52,2.609668e-05,0.0000,1.201622e-05,0.0000,0.155
DG P4,4,8,3,2,40,168,3.263807e-08,9.6431,2.358201e-09,12.3150,0.608
DG P4,4,16,3,4,80,592,1.516540e-09,4.4277,9.536183e-11,4.6281,2.515
