NCOL,NCELLS,DoF_bulk,DoF_total,L2_outlet,L2EOC_outlet,Linf_outlet,LinfEOC_outlet,Simtime
128,32,128,8320,1.118967e-04,0.0000,6.974016e-06,0.0000,3.552
256,64,256,33024,2.268527e-05,2.3023,1.413799e-06,2.3024,13.377
512,128,512,131584,4.277009e-06,2.4071,2.647897e-07,2.4167,56.320
1024,256,1024,525312,7.825621e-07,2.4503,4.851609e-08,2.4483,228.636
2048,512,2048,2099200,1.506817e-07,2.3767,9.342863e-09,2.3765,936.698
4096,1024,4096,8392704,3.023112e-08,2.3174,1.871792e-09,2.3194,3617.911
8192,2048,8192,33562624,5.461204e-09,2.4687,3.379938e-10,2.4694,14276.591
