Method,POLYDEG,NELEM,PAR_POLYDEG,PAR_NELEM,DoF_bulk,DoF_total,L2_outlet,L2EOC_outlet,Linf_outlet,LinfEOC_outlet,Simtime
DG P1,1,4,1,1,32,96,2.027770e+00,0.0000,9.216879e-01,0.0000,0.342
DG P1,1,8,1,2,64,320,1.703589e+00,0.2513,7.084172e-01,0.3797,2.251
DG P1,1,16,1,4,128,1152,1.024462e+00,0.7337,4.660079e-01,0.6042,13.251
DG P1,1,32,1,8,256,4352,3.931580e-01,1.3817,2.283165e-01,1.0293,75.362
DG P1,1,64,1,16,512,16896,1.243967e-01,1.6602,6.954120e-02,1.7151,440.840
DG P1,1,128,1,32,1024,66560,4.567736e-02,1.4454,3.387994e-02,1.0374,2561.774
DG P2,2,4,2,1,48,144,1.670757e+00,0.0000,6.930079e-01,0.0000,1.009
DG P2,2,8,2,2,96,480,9.052974e-01,0.8840,4.303765e-01,0.6873,7.246
DG P2,2,16,2,4,192,1728,3.936204e-01,1.2016,1.936696e-01,1.1520,55.245
DG P2,2,32,2,8,384,6528,1.193343e-01,1.7218,6.523015e-02,1.5700,362.635
DG P2,2,64,2,16,768,25344,3.647274e-02,1.7101,2.338396e-02,1.4800,1950.799
DG P2,2,128,2,32,1536,99840,9.833807e-03,1.8910,7.951741e-03,1.5562,10752.916
DG P3,3,4,3,1,64,192,1.084960e+00,0.0000,5.093836e-01,0.0000,2.508
DG P3,3,8,3,2,128,640,5.247750e-01,1.0479,2.143784e-01,1.2486,20.827
DG P3,3,16,3,4,256,2304,1.637077e-01,1.6806,7.558867e-02,1.5039,151.250
DG P3,3,32,3,8,512,8704,5.457041e-02,1.5849,3.090246e-02,1.2904,912.174
DG P3,3,64,3,16,1024,33792,1.754076e-02,1.6374,8.359769e-03,1.8862,4825.583
DG P3,3,128,3,32,2048,133120,2.825774e-03,2.6340,2.341341e-03,1.8361,25096.239
DG P4,4,4,4,1,80,240,7.033409e-01,0.0000,2.826986e-01,0.0000,4.348
DG P4,4,8,4,2,160,800,2.592493e-01,1.4399,1.204302e-01,1.2311,54.711
DG P4,4,16,4,4,320,2880,9.236263e-02,1.4890,4.844527e-02,1.3138,308.392
DG P4,4,32,4,8,640,10880,2.284473e-02,2.0154,1.285772e-02,1.9137,1769.827
DG P4,4,64,4,16,1280,42240,1.123229e-02,1.0242,8.735094e-03,0.5577,9623.435
DG P4,4,128,4,32,2560,166400,7.905383e-04,3.8287,6.183749e-04,3.8203,49874.973
