NCOL,NCELLS,DoF_bulk,DoF_total,L2_outlet,L2EOC_outlet,Linf_outlet,LinfEOC_outlet,Simtime
16,4,64,576,1.076092e+00,0.0000,5.377284e-01,0.0000,0.825
32,8,128,2176,3.651381e-01,1.5593,2.432818e-01,1.1442,3.938
64,16,256,8448,1.056561e-01,1.7891,9.135685e-02,1.4130,21.913
128,32,512,33280,1.916606e-02,2.4628,1.008285e-02,3.1796,129.479
256,64,1024,132096,4.550111e-03,2.0746,2.585477e-03,1.9634,777.527
512,128,2048,526336,6.952553e-04,2.7103,4.745056e-04,2.4459,4122.142
