Method,POLYDEG,NELEM,PAR_POLYDEG,PAR_NELEM,DoF_bulk,DoF_total,L2_outlet,L2EOC_outlet,Linf_outlet,LinfEOC_outlet,Simtime
DG P1,1,4,1,1,8,24,3.112165e-03,0.0000,1.193387e-03,0.0000,0.061
DG P1,1,8,1,2,16,80,1.542713e-03,1.0124,5.880499e-04,1.0211,0.165
DG P1,1,16,1,4,32,288,4.303560e-04,1.8419,1.652593e-04,1.8312,0.845
DG P1,1,32,1,8,64,1088,1.102096e-04,1.9653,4.237933e-05,1.9633,4.318
DG P1,1,64,1,16,128,4224,2.772047e-05,1.9912,1.066063e-05,1.9911,26.062
DG P1,1,128,1,32,256,16640,6.982446e-06,1.9891,2.684829e-06,1.9894,172.568
DG P2,2,4,2,1,12,36,2.728927e-05,0.0000,1.299618e-05,0.0000,0.112
DG P2,2,8,2,2,24,120,4.720383e-06,2.5314,2.475716e-06,2.3922,0.476
DG P2,2,16,2,4,48,432,1.250721e-07,5.2381,5.921787e-08,5.3857,2.701
DG P2,2,32,2,8,96,1632,7.159221e-08,0.8049,2.826191e-08,1.0672,17.792
DG P2,2,64,2,16,192,6336,7.124449e-08,0.0070,2.783806e-08,0.0218,114.301
DG P2,2,128,2,32,384,24960,7.094786e-08,0.0060,2.784477e-08,-0.0003,578.121
DG P3,3,4,3,1,16,48,1.458303e-06,0.0000,1.013337e-06,0.0000,0.207
DG P3,3,8,3,2,32,160,1.026993e-07,3.8278,5.680564e-08,4.1569,1.102
DG P3,3,16,3,4,64,576,7.110219e-08,0.5305,2.835482e-08,1.0024,6.712
DG P3,3,32,3,8,128,2176,7.123585e-08,-0.0027,2.783681e-08,0.0266,43.908
DG P3,3,64,3,16,256,8448,7.315611e-08,-0.0384,2.783823e-08,-0.0001,245.375
DG P3,3,128,3,32,512,33280,7.081423e-08,0.0469,2.785698e-08,-0.0010,1132.647
DG P4,4,4,4,1,20,60,8.377633e-08,0.0000,4.680916e-08,0.0000,0.396
DG P4,4,8,4,2,40,200,7.108437e-08,0.2370,2.756590e-08,0.7639,2.153
DG P4,4,16,4,4,80,720,7.113777e-08,-0.0011,2.789679e-08,-0.0172,13.979
DG P4,4,32,4,8,160,2720,7.156705e-08,-0.0087,2.783415e-08,0.0032,85.027
DG P4,4,64,4,16,320,10560,7.087229e-08,0.0141,2.784512e-08,-0.0006,427.821
DG P4,4,128,4,32,640,41600,7.267191e-08,-0.0362,2.784931e-08,-0.0002,1701.339
