NCOL,NCELLS,DoF_bulk,DoF_total,L2_outlet,L2EOC_outlet,Linf_outlet,LinfEOC_outlet,Simtime
16,4,16,144,4.789487e-03,0.0000,1.773539e-03,0.0000,0.119
32,8,32,544,1.209678e-03,1.9852,4.455859e-04,1.9929,0.512
64,16,64,2112,3.020926e-04,2.0016,1.104506e-04,2.0123,2.514
128,32,128,8320,7.526827e-05,2.0049,2.737591e-05,2.0124,13.013
256,64,256,33024,1.873704e-05,2.0061,6.821293e-06,2.0048,64.604
512,128,512,131584,4.627909e-06,2.0175,1.698365e-06,2.0059,298.460
1024,256,1024,525312,1.103714e-06,2.0680,4.090183e-07,2.0539,1316.800
2048,512,2048,2099200,2.214595e-07,2.3173,8.264352e-08,2.3072,5619.142
