NCOL,NCELLS,DoF_bulk,DoF_total,L2_outlet,L2EOC_outlet,Linf_outlet,LinfEOC_outlet,Simtime
16,4,16,144,2.059976e-03,0.0000,7.950288e-04,0.0000,0.109
32,8,32,544,5.569278e-04,1.8871,2.134788e-04,1.8969,0.494
64,16,64,2112,1.417561e-04,1.9741,5.420266e-05,1.9777,2.522
128,32,128,8320,3.520596e-05,2.0095,1.344658e-05,2.0111,13.571
256,64,256,33024,8.396005e-06,2.0680,3.200933e-06,2.0707,85.650
512,128,512,131584,1.686041e-06,2.3161,6.389031e-07,2.3248,553.953
