Method,POLYDEG,NELEM,PAR_POLYDEG,PAR_NELEM,DoF_bulk,DoF_total,L2_outlet,L2EOC_outlet,Linf_outlet,LinfEOC_outlet,Simtime
DG P1,1,4,1,1,8,24,1.959914e-03,0.0000,8.152440e-04,0.0000,0.038
DG P1,1,8,1,2,16,80,1.162424e-03,0.7537,4.862004e-04,0.7457,0.160
DG P1,1,16,1,4,32,288,3.554110e-04,1.7096,1.434443e-04,1.7611,0.755
DG P1,1,32,1,8,64,1088,9.390041e-05,1.9203,3.732448e-05,1.9423,4.149
DG P1,1,64,1,16,128,4224,2.419773e-05,1.9563,9.612179e-06,1.9572,26.383
DG P1,1,128,1,32,256,16640,6.475094e-06,1.9019,2.570225e-06,1.9030,182.871
DG P2,2,4,2,1,12,36,3.074274e-04,0.0000,1.304114e-04,0.0000,0.101
DG P2,2,8,2,2,24,120,6.539587e-05,2.2330,2.195674e-05,2.5703,0.473
DG P2,2,16,2,4,48,432,3.193387e-06,4.3560,1.390261e-06,3.9812,2.727
DG P2,2,32,2,8,96,1632,6.501558e-07,2.2962,3.332054e-07,2.0609,17.974
DG P2,2,64,2,16,192,6336,5.475263e-07,0.2479,2.124970e-07,0.6490,121.844
DG P2,2,128,2,32,384,24960,5.445153e-07,0.0080,2.124001e-07,0.0007,854.943
DG P3,3,4,3,1,16,48,2.333267e-05,0.0000,9.549993e-06,0.0000,0.206
DG P3,3,8,3,2,32,160,2.303963e-06,3.3402,1.134353e-06,3.0736,1.168
DG P3,3,16,3,4,64,576,6.112668e-07,1.9142,2.922103e-07,1.9568,6.643
DG P3,3,32,3,8,128,2176,5.495617e-07,0.1535,2.127096e-07,0.4581,45.844
DG P3,3,64,3,16,256,8448,5.474607e-07,0.0055,2.123923e-07,0.0022,349.852
DG P3,3,128,3,32,512,33280,5.606101e-07,-0.0342,2.120921e-07,0.0020,2286.817
DG P4,4,4,4,1,20,60,1.937636e-06,0.0000,8.847686e-07,0.0000,0.405
DG P4,4,8,4,2,40,200,8.866233e-07,1.1279,5.809764e-07,0.6068,2.220
DG P4,4,16,4,4,80,720,5.465087e-07,0.6981,2.076248e-07,1.4845,14.830
DG P4,4,32,4,8,160,2720,5.481184e-07,-0.0042,2.124501e-07,-0.0331,93.682
DG P4,4,64,4,16,320,10560,5.503569e-07,-0.0059,2.121782e-07,0.0018,711.342
DG P4,4,128,4,32,640,41600,5.489160e-07,0.0038,2.118754e-07,0.0021,4800.173
