Method,Ne,Linf_error,Linf_EOC,L1_error,L1_EOC,Min_value,Sim_time
DG P3,8,3.2618538457479107,0.0,808.7633520472057,0.0,-2.2258993927338904,7.315586177
DG P3,16,0.9739625905782212,1.743753875218173,163.63271694881118,2.3052563935263612,-0.8426480730657118,18.189699197
DG P3,32,0.19112303286913246,2.3493647074221937,15.996668109427702,3.35461788397227,-0.017895373984059416,55.078714489000006
DG P3,64,0.016361222611329218,3.5461491882659133,0.8322879978258578,4.264544799605079,-5.335080544656472e-07,132.422896869
DG P3,128,0.0010588980785488644,3.949644921060994,0.06072859336035351,3.7766349746806194,-5.165534466010612e-10,400.395351778
DG P3,256,5.770390074166798e-05,4.197751075667226,0.004750864862703389,3.6761138775231696,-2.4960018323386342e-12,1317.2565202320002
DG P4,8,1.754941983107889,0.0,437.1887081926329,0.0,-1.6542050861929283,14.513105353
DG P4,16,0.5039104127750325,1.8001841635513933,72.80297459206534,2.5861868367061223,-0.3835764208191231,35.087815809000006
DG P4,32,0.05281055959672454,3.2542689345431843,3.596427117896604,4.339361124328336,-0.0024330271629043982,81.72566538400001
DG P4,64,0.002122365081230093,4.637081679057647,0.09985624801352187,5.170567857718089,-1.0649839779334975e-08,232.656484166
DG P4,128,5.318579115698441e-05,5.3184881601315785,0.004232258830341404,4.560352934527444,-1.5652792215969272e-12,768.795061622
DG P5,8,1.054350735516787,0.0,272.8938942791749,0.0,-1.0277524198214323,21.041012165
DG P5,16,0.25053344036626746,2.0732797796847806,28.26086054624612,3.2714628144795324,-0.09674652755670303,62.567862862000005
DG P5,32,0.01309050011635371,4.258411061456267,0.7788753077244014,5.181269204551842,-4.0864423580719125e-05,154.879817059
DG P5,64,0.00016527899114748834,6.307473052367981,0.013425882428443918,5.858303562887728,-6.444763414567805e-09,406.80804247400005
DG P5,128,3.178602401732178e-06,5.700366976010279,0.002034424078500993,2.7223245663579845,-4.681894689851873e-13,1255.564510305
FV WENO,64,0.8727299958963655,0.0,389.1683470650928,0.0,-9.476458289643646e-08,1.690411818
FV WENO,128,0.1860710565724979,2.229681722658666,131.43290521544424,1.5660678631333764,-2.2698161816809995e-11,2.3930741970000002
FV WENO,256,0.0815707165679882,1.1897304302724145,51.31807903493101,1.3567874375867468,-2.308372588722171e-13,11.968359393
FV WENO,512,0.03495225516082634,1.2226657826779443,21.177465723611995,1.2769372132745542,-9.701779943491165e-13,27.444782209000003
FV WENO,1024,0.014404815034106733,1.2788344073891762,8.599932924236924,1.3001326418784704,-3.744186996219846e-37,55.460013507000006
FV WENO,2048,0.005473449634832761,1.3960288540671635,3.254990245052685,1.401672187705398,-8.345986638108309e-13,99.455343705
FV WENO,4096,0.0016342609587827184,1.7438120050084804,0.9729458264602765,1.7422218365350803,-7.632350471099948e-26,243.113368167
