Method,Ne,Linf_error,Linf_EOC,L1_error,L1_EOC,Min_value,Sim_time
DG P3,8,8.480302828736733,0.0,1622.8163492146598,0.0,-3.5391309077635844,5.741935989000001
DG P3,16,6.06093949873812,0.4845743424518312,850.9312611996633,0.9313852424419728,-2.5998859829948326,21.461774695000003
DG P3,32,4.885477898073455,0.31104174769680526,374.8327884312887,1.1827954367328182,-2.5111871310642684,56.810549392000006
DG P3,64,2.9788602931399515,0.7137392301161336,125.08355719172341,1.583355004932042,-1.932037802521201,158.687970548
DG P3,128,1.1621819872449803,1.357924464095856,24.930324650561836,2.326918577781432,-0.938765788618979,542.433875809
DG P3,256,0.24602466631224917,2.239961127673083,2.39982768909254,3.376898942992514,-0.018226261242578184,1649.409897297
DG P3,512,0.020898880782432627,3.557305379239546,0.1318739627476149,4.185699170593023,-1.1419558837063444e-08,5289.040502892
DG P3,1024,0.001375530705368444,3.925365432585582,0.011640705132907074,3.5019093894613484,-2.578155105769874e-12,18546.915946978002
DG P4,8,6.930297587465739,0.0,1386.1509995551633,0.0,-3.4462306788900787,11.910006822000001
DG P4,16,6.0590426413996195,0.19382744434094845,642.7925957889714,1.1086592091037677,-3.035715255669296,43.599691823
DG P4,32,3.782848397746462,0.6796168989919505,272.05646490259755,1.2404471992678834,-2.3849776932674853,110.98691256400001
DG P4,64,1.9709688935973682,0.9405679522566153,72.15960564586558,1.914642752337691,-1.5592333599455213,318.658927511
DG P4,128,0.5910266342138479,1.7376099564770322,10.013606084312341,2.8492298454006826,-0.44082002307058943,942.888923255
DG P4,256,0.07113930963058479,3.054504266952728,0.5974318094730215,4.067043744523971,-0.003120781554221284,3034.4710434060003
DG P4,512,0.0031225743124561056,4.509839162601632,0.023477103805743037,4.669447704030706,-4.159673646511072e-11,9647.952622873001
DG P5,8,5.553204933802858,0.0,1197.6042251134286,0.0,-2.820093871846772,25.646881313
DG P5,16,4.671913551862012,0.24930705856611435,571.3182022975279,1.067784816022504,-2.8126538764221336,65.90821237600001
DG P5,32,3.0545407684456647,0.6130580831728468,198.56135992900593,1.5247095936654904,-2.1610336243308086,180.63209372300003
DG P5,64,1.2446547284128724,1.295209906828177,44.060807721020424,2.172017053680666,-1.151789136993307,463.53912921000006
DG P5,128,0.28652579388150495,2.119008663602848,4.4568275072629735,3.305406912239258,-0.1075210505681836,1531.549627326
DG P5,256,0.01934503289393419,3.88862993338517,0.158870559339847,4.8100934198495136,-2.0381666483157356e-05,5073.667358851
DG P5,512,0.0003311119288671449,5.8685003844901376,0.007157964071265319,4.472158687872558,-1.1377511938054813e-11,17482.834040244
FV WENO,64,6.840752383515649,0.0,857.7564349128377,0.0,-2.739641652561055e-07,3.0239548800000002
FV WENO,128,5.032389787220261,0.4429113378774621,388.8479821044564,1.1413617919088406,-2.594459816988718e-07,9.252117153
FV WENO,256,3.019640551922442,0.7368668453848112,163.37803006335804,1.2509922590818128,-1.631164376589284e-07,16.836886279
FV WENO,512,0.9613793144800908,1.651199158927516,57.66965166209494,1.5023297796460462,-3.179908589690009e-10,55.840826240000005
FV WENO,1024,0.1715324014195465,2.486624643666454,21.805662793585153,1.403109465718768,-4.026303027884942e-12,121.46713553200001
FV WENO,2048,0.029316598304047314,2.5486915004833337,9.215812785806389,1.242519527863825,-8.65094161323407e-50,291.873925327
FV WENO,4096,0.010918603946775463,1.424929307804316,3.785943889330943,1.283458380193883,-3.365916026064373e-16,642.6935488800001
FV WENO,8192,0.003551516337159555,1.620281378071359,1.2297672293902107,1.622267761551232,-1.7365650986299556e-12,1466.053163945
