NCOL,NCELLS,DoF_bulk,DoF_total,L2_outlet,L2EOC_outlet,Linf_outlet,LinfEOC_outlet,Simtime
16,4,64,576,2.022678e-04,0.0000,3.948998e-05,0.0000,0.548
32,8,128,2176,8.861881e-05,1.1906,1.803559e-05,1.1306,2.403
64,16,256,8448,3.780621e-05,1.2290,8.240971e-06,1.1300,13.231
128,32,512,33280,1.614053e-05,1.2279,8.250031e-06,-0.0016,85.700
256,64,1024,132096,9.762147e-06,0.7254,8.343088e-06,-0.0162,574.163
512,128,2048,526336,9.507127e-06,0.0382,8.225851e-06,0.0204,3635.718
