Method,POLYDEG,NELEM,PAR_POLYDEG,PAR_NELEM,DoF_bulk,DoF_total,L2_outlet,L2EOC_outlet,Linf_outlet,LinfEOC_outlet,Simtime
DG P1,1,4,1,1,32,96,2.072774e-03,0.0000,2.069296e-03,0.0000,0.267
DG P1,1,8,1,2,64,320,4.233409e-05,5.6136,1.234602e-05,7.3890,1.640
DG P1,1,16,1,4,128,1152,2.531458e-05,0.7419,8.551073e-06,0.5299,9.114
DG P1,1,32,1,8,256,4352,1.726915e-05,0.5518,7.959145e-06,0.1035,52.416
DG P1,1,64,1,16,512,16896,1.206885e-05,0.5169,8.244646e-06,-0.0508,296.040
DG P1,1,128,1,32,1024,66560,1.012922e-05,0.2528,8.395540e-06,-0.0262,1845.627
DG P2,2,4,2,1,48,144,5.054906e-05,0.0000,3.929764e-05,0.0000,0.766
DG P2,2,8,2,2,96,480,2.486456e-05,1.0236,7.509221e-06,2.3877,5.028
DG P2,2,16,2,4,192,1728,1.680013e-05,0.5656,7.730934e-06,-0.0420,35.378
DG P2,2,32,2,8,384,6528,1.187900e-05,0.5001,8.272275e-06,-0.0976,236.221
DG P2,2,64,2,16,768,25344,1.015691e-05,0.2260,8.398306e-06,-0.0218,1474.943
DG P2,2,128,2,32,1536,99840,9.649744e-06,0.0739,8.271366e-06,0.0220,9548.330
DG P3,3,4,3,1,64,192,2.333548e-05,0.0000,7.219022e-06,0.0000,1.708
DG P3,3,8,3,2,128,640,1.771454e-05,0.3976,7.640274e-06,-0.0818,14.141
DG P3,3,16,3,4,256,2304,1.248031e-05,0.5053,8.243205e-06,-0.1096,103.667
DG P3,3,32,3,8,512,8704,1.030278e-05,0.2766,8.419082e-06,-0.0305,695.562
DG P3,3,64,3,16,1024,33792,9.521223e-06,0.1138,8.249898e-06,0.0293,4233.788
DG P3,3,128,3,32,2048,133120,1.013723e-05,-0.0904,8.379110e-06,-0.0224,28122.742
DG P4,4,4,4,1,80,240,1.810240e-05,0.0000,8.032363e-06,0.0000,3.233
DG P4,4,8,4,2,160,800,1.394835e-05,0.3761,8.038019e-06,-0.0010,32.008
DG P4,4,16,4,4,320,2880,1.077147e-05,0.3729,8.452273e-06,-0.0725,220.113
DG P4,4,32,4,8,640,10880,9.560457e-06,0.1721,8.285369e-06,0.0288,1495.926
DG P4,4,64,4,16,1280,42240,9.242282e-06,0.0488,8.389019e-06,-0.0179,9102.606
