NCOL,NCELLS,DoF_bulk,DoF_total,L2_outlet,L2EOC_outlet,Linf_outlet,LinfEOC_outlet,Simtime
16,4,64,576,4.165001e-03,0.0000,8.911548e-04,0.0000,0.624
32,8,128,2176,1.262210e-03,1.7224,4.002581e-04,1.1547,2.433
64,16,256,8448,4.466454e-04,1.4987,1.527550e-04,1.3897,13.005
128,32,512,33280,1.913409e-04,1.2230,4.394715e-05,1.7974,81.670
256,64,1024,132096,8.337712e-05,1.1984,1.827527e-05,1.2659,546.622
512,128,2048,526336,2.993429e-05,1.4779,9.933723e-06,0.8795,3056.990
