NCOL,NCELLS,DoF_bulk,DoF_total,L2_outlet,L2EOC_outlet,Linf_outlet,LinfEOC_outlet,Simtime
16,4,64,576,1.727953e-02,0.0000,6.072592e-03,0.0000,0.591
32,8,128,2176,8.894807e-03,0.9580,2.225039e-03,1.4485,2.319
64,16,256,8448,4.783382e-03,0.8949,1.233319e-03,0.8513,13.263
128,32,512,33280,2.293695e-03,1.0604,5.770890e-04,1.0957,81.014
256,64,1024,132096,9.155881e-04,1.3249,2.270199e-04,1.3460,553.482
512,128,2048,526336,2.664522e-04,1.7808,6.953330e-05,1.7070,3476.132
