Method,POLYDEG,NELEM,PAR_POLYDEG,PAR_NELEM,DoF_bulk,DoF_total,L2_outlet,L2EOC_outlet,Linf_outlet,LinfEOC_outlet,Simtime
DG P1,1,4,1,1,32,96,1.276643e-02,0.0000,5.227719e-03,0.0000,0.264
DG P1,1,8,1,2,64,320,7.297685e-03,0.8068,2.971482e-03,0.8150,1.602
DG P1,1,16,1,4,128,1152,2.815951e-03,1.3738,1.661336e-03,0.8388,8.362
DG P1,1,32,1,8,256,4352,1.225946e-03,1.1997,4.920065e-04,1.7556,45.133
DG P1,1,64,1,16,512,16896,8.425523e-04,0.5411,2.154747e-04,1.1912,279.573
DG P1,1,128,1,32,1024,66560,5.738465e-04,0.5541,1.565698e-04,0.4607,1664.902
DG P2,2,4,2,1,48,144,3.671574e-03,0.0000,1.993665e-03,0.0000,0.809
DG P2,2,8,2,2,96,480,2.066502e-03,0.8292,1.197780e-03,0.7351,4.922
DG P2,2,16,2,4,192,1728,1.082666e-03,0.9326,2.299409e-04,2.3810,31.436
DG P2,2,32,2,8,384,6528,8.108126e-04,0.4171,2.136610e-04,0.1059,203.435
DG P2,2,64,2,16,768,25344,5.413208e-04,0.5829,1.396121e-04,0.6139,1258.323
DG P2,2,128,2,32,1536,99840,4.138367e-04,0.3874,1.549268e-04,-0.1502,8459.307
DG P3,3,4,3,1,64,192,1.751407e-03,0.0000,9.205188e-04,0.0000,1.753
DG P3,3,8,3,2,128,640,1.111753e-03,0.6557,2.309549e-04,1.9948,13.179
DG P3,3,16,3,4,256,2304,8.537166e-04,0.3810,2.186206e-04,0.0792,83.732
DG P3,3,32,3,8,512,8704,5.875993e-04,0.5389,1.629546e-04,0.4240,574.596
DG P3,3,64,3,16,1024,33792,4.279823e-04,0.4573,1.553840e-04,0.0686,3889.450
DG P3,3,128,3,32,2048,133120,3.425667e-04,0.3212,1.049130e-04,0.5666,27668.262
DG P4,4,4,4,1,80,240,1.148974e-03,0.0000,2.684791e-04,0.0000,3.072
DG P4,4,8,4,2,160,800,9.356033e-04,0.2964,2.250906e-04,0.2543,28.608
DG P4,4,16,4,4,320,2880,6.803334e-04,0.4597,1.928265e-04,0.2232,182.677
DG P4,4,32,4,8,640,10880,4.557228e-04,0.5781,1.225108e-04,0.6544,1249.412
DG P4,4,64,4,16,1280,42240,3.717964e-04,0.2936,1.090637e-04,0.1677,8796.315
