NCOL,NCELLS,DoF_bulk,DoF_total,L2_outlet,L2EOC_outlet,Linf_outlet,LinfEOC_outlet,Simtime
16,4,16,144,4.741858e-04,0.0000,1.683446e-04,0.0000,0.091
32,8,32,544,1.702062e-04,1.4782,6.397035e-05,1.3959,0.447
64,16,64,2112,4.965923e-05,1.7771,1.907721e-05,1.7456,2.181
128,32,128,8320,1.282025e-05,1.9536,4.903021e-06,1.9601,12.401
256,64,256,33024,3.078929e-06,2.0579,1.180446e-06,2.0543,70.217
512,128,512,131584,6.119589e-07,2.3309,2.372105e-07,2.3151,449.162
