Method,POLYDEG,NELEM,PAR_POLYDEG,PAR_NELEM,DoF_bulk,DoF_total,L2_outlet,L2EOC_outlet,Linf_outlet,LinfEOC_outlet,Simtime
DG P1,1,4,1,1,8,24,2.480090e-04,0.0000,1.013460e-04,0.0000,0.036
DG P1,1,8,1,2,16,80,1.909399e-04,0.3773,6.094486e-05,0.7337,0.149
DG P1,1,16,1,4,32,288,1.078648e-04,0.8239,3.719039e-05,0.7126,0.700
DG P1,1,32,1,8,64,1088,4.081987e-05,1.4019,1.609489e-05,1.2083,3.843
DG P1,1,64,1,16,128,4224,1.160802e-05,1.8141,4.487396e-06,1.8427,24.007
DG P1,1,128,1,32,256,16640,3.153069e-06,1.8803,1.212412e-06,1.8880,164.110
DG P2,2,4,2,1,12,36,1.327394e-04,0.0000,4.238163e-05,0.0000,0.097
DG P2,2,8,2,2,24,120,7.851059e-05,0.7576,2.995038e-05,0.5009,0.465
DG P2,2,16,2,4,48,432,2.057106e-05,1.9323,9.212379e-06,1.7009,2.750
DG P2,2,32,2,8,96,1632,1.548908e-06,3.7313,5.238132e-07,4.1364,16.824
DG P2,2,64,2,16,192,6336,2.393816e-07,2.6939,1.162815e-07,2.1714,108.728
DG P2,2,128,2,32,384,24960,2.267084e-07,0.0785,1.070777e-07,0.1190,772.225
DG P3,3,4,3,1,16,48,6.261511e-05,0.0000,2.549859e-05,0.0000,0.194
DG P3,3,8,3,2,32,160,2.130260e-05,1.5555,9.865880e-06,1.3699,1.089
DG P3,3,16,3,4,64,576,1.403022e-06,3.9244,5.270910e-07,4.2263,6.556
DG P3,3,32,3,8,128,2176,2.458679e-07,2.5126,1.147093e-07,2.2001,42.478
DG P3,3,64,3,16,256,8448,2.186365e-07,0.1693,1.069825e-07,0.1006,288.405
DG P3,3,128,3,32,512,33280,2.553159e-07,-0.2237,1.541299e-07,-0.5268,2091.540
DG P4,4,4,4,1,20,60,2.337468e-05,0.0000,1.093885e-05,0.0000,0.380
DG P4,4,8,4,2,40,200,2.885466e-06,3.0181,9.756459e-07,3.4870,2.143
DG P4,4,16,4,4,80,720,2.215987e-07,3.7028,1.145064e-07,3.0909,14.193
DG P4,4,32,4,8,160,2720,2.241362e-07,-0.0164,1.066334e-07,0.1028,81.759
DG P4,4,64,4,16,320,10560,2.183333e-07,0.0378,9.201715e-08,0.2127,634.184
