Method,POLYDEG,NELEM,PAR_POLYDEG,PAR_NELEM,DoF_bulk,DoF_total,L2_outlet,L2EOC_outlet,Linf_outlet,LinfEOC_outlet,Simtime
DG P1,1,4,1,1,32,96,8.464381e+00,0.0000,1.846183e+00,0.0000,0.404
DG P1,1,8,1,2,64,320,1.732522e+00,2.2885,4.067651e-01,2.1823,1.596
DG P1,1,16,1,4,128,1152,3.382246e-01,2.3568,7.719485e-02,2.3976,6.762
DG P1,1,32,1,8,256,4352,7.994832e-02,2.0808,1.544228e-02,2.3216,34.709
DG P1,1,64,1,16,512,16896,2.111262e-02,1.9210,4.033079e-03,1.9369,130.692
DG P1,1,128,1,32,1024,66560,5.858086e-03,1.8496,1.199324e-03,1.7497,534.619
DG P2,2,4,2,1,48,144,8.479224e-01,0.0000,1.818009e-01,0.0000,1.146
DG P2,2,8,2,2,96,480,1.541879e-01,2.4592,3.631320e-02,2.3238,4.705
DG P2,2,16,2,4,192,1728,4.186408e-02,1.8809,9.402792e-03,1.9493,25.297
DG P2,2,32,2,8,384,6528,8.332329e-03,2.3289,1.805867e-03,2.3804,103.757
DG P2,2,64,2,16,768,25344,1.273930e-03,2.7094,2.809708e-04,2.6842,399.456
DG P2,2,128,2,32,1536,99840,1.757422e-04,2.8578,3.679913e-05,2.9327,1821.241
DG P3,3,4,3,1,64,192,2.326964e-01,0.0000,5.385188e-02,0.0000,1.934
DG P3,3,8,3,2,128,640,5.161104e-02,2.1727,1.144440e-02,2.2344,12.081
DG P3,3,16,3,4,256,2304,7.984117e-03,2.6925,1.754063e-03,2.7059,49.170
DG P3,3,32,3,8,512,8704,1.378990e-03,2.5335,2.950304e-04,2.5718,205.888
DG P3,3,64,3,16,1024,33792,2.006862e-04,2.7806,4.609260e-05,2.6783,857.788
DG P3,3,128,3,32,2048,133120,6.034809e-05,1.7336,9.529435e-06,2.2741,4093.391
DG P4,4,4,4,1,80,240,8.874709e-02,0.0000,1.763794e-02,0.0000,4.393
DG P4,4,8,4,2,160,800,1.260861e-02,2.8153,2.700370e-03,2.7075,20.684
DG P4,4,16,4,4,320,2880,2.459910e-03,2.3577,5.328556e-04,2.3413,92.106
DG P4,4,32,4,8,640,10880,3.406943e-04,2.8521,7.804657e-05,2.7713,376.083
DG P4,4,64,4,16,1280,42240,5.650950e-05,2.5919,9.479387e-06,3.0415,1586.055
DG P4,4,128,4,32,2560,166400,7.668748e-05,-0.4405,1.299469e-05,-0.4551,7474.308
