NCOL,NCELLS,DoF_bulk,DoF_total,L2_outlet,L2EOC_outlet,Linf_outlet,LinfEOC_outlet,Simtime
16,4,16,144,6.482831e-05,0.0000,2.141061e-05,0.0000,0.083
32,8,32,544,2.946870e-05,1.1374,1.006043e-05,1.0896,0.399
64,16,64,2112,1.163512e-05,1.3407,4.183775e-06,1.2658,2.021
128,32,128,8320,3.768835e-06,1.6263,1.425933e-06,1.5529,10.931
256,64,256,33024,9.862625e-07,1.9341,3.763599e-07,1.9217,64.395
512,128,512,131584,2.320659e-07,2.0874,1.352129e-07,1.4769,409.318
