Method,POLYDEG,NELEM,PAR_POLYDEG,PAR_NELEM,DoF_bulk,DoF_total,L2_outlet,L2EOC_outlet,Linf_outlet,LinfEOC_outlet,Simtime
DG P1,1,4,1,1,8,24,5.836899e-05,0.0000,4.141112e-05,0.0000,0.046
DG P1,1,8,1,2,16,80,5.252834e-07,6.7960,2.007386e-07,7.6886,0.145
DG P1,1,16,1,4,32,288,1.469217e-07,1.8380,6.660225e-08,1.5917,0.653
DG P1,1,32,1,8,64,1088,4.521744e-08,1.7001,3.252001e-08,1.0342,3.688
DG P1,1,64,1,16,128,4224,2.548894e-08,0.8270,2.399464e-08,0.4386,21.670
DG P1,1,128,1,32,256,16640,2.307471e-08,0.1436,2.214616e-08,0.1157,131.129
DG P2,2,4,2,1,12,36,1.300985e-06,0.0000,9.204673e-07,0.0000,0.084
DG P2,2,8,2,2,24,120,2.222177e-08,5.8715,2.111660e-08,5.4459,0.404
DG P2,2,16,2,4,48,432,2.166633e-08,0.0365,2.044396e-08,0.0467,2.454
DG P2,2,32,2,8,96,1632,2.283577e-08,-0.0758,2.153964e-08,-0.0753,15.342
DG P2,2,64,2,16,192,6336,2.165798e-08,0.0764,2.061662e-08,0.0632,90.918
DG P2,2,128,2,32,384,24960,4.324023e-08,-0.9975,3.214496e-08,-0.6408,669.789
DG P3,3,4,3,1,16,48,2.650003e-08,0.0000,2.062307e-08,0.0000,0.172
DG P3,3,8,3,2,32,160,2.073098e-08,0.3542,1.956888e-08,0.0757,0.988
DG P3,3,16,3,4,64,576,2.177037e-08,-0.0706,2.054599e-08,-0.0703,6.257
DG P3,3,32,3,8,128,2176,2.070342e-08,0.0725,1.935211e-08,0.0864,40.555
DG P3,3,64,3,16,256,8448,3.843009e-08,-0.8924,3.422543e-08,-0.8226,292.562
DG P3,3,128,3,32,512,33280,9.186365e-09,2.0647,6.527601e-09,2.3904,1887.427
DG P4,4,4,4,1,20,60,2.275261e-08,0.0000,2.064473e-08,0.0000,0.423
DG P4,4,8,4,2,40,200,2.189283e-08,0.0556,2.068853e-08,-0.0031,1.997
DG P4,4,16,4,4,80,720,2.242209e-08,-0.0345,2.104763e-08,-0.0248,12.852
DG P4,4,32,4,8,160,2720,2.021879e-08,0.1492,1.896398e-08,0.1504,83.213
DG P4,4,64,4,16,320,10560,4.013801e-08,-0.9893,2.200940e-08,-0.2149,623.796
DG P4,4,128,4,32,640,41600,3.913254e-08,0.0366,3.673436e-08,-0.7390,4049.510
