NCOL,NCELLS,DoF_bulk,DoF_total,L2_outlet,L2EOC_outlet,Linf_outlet,LinfEOC_outlet,Simtime
16,4,16,144,1.578065e-06,0.0000,5.183090e-07,0.0000,0.090
32,8,32,544,3.959525e-07,1.9948,1.356577e-07,1.9338,0.486
64,16,64,2112,9.837095e-08,2.0090,3.874055e-08,1.8081,2.216
128,32,128,8320,3.513266e-08,1.4854,2.333803e-08,0.7312,11.964
256,64,256,33024,2.145952e-08,0.7112,1.857426e-08,0.3294,68.730
512,128,512,131584,4.032623e-08,-0.9101,3.751275e-08,-1.0141,421.005
